id	k0	k1	k2	k3	x_begin	x_end	y_begin	y_end
WT	9.923122497751017e-07	-0.0011923803575837905	0.45522693127245	139.389541952908	31	887	152	298
0hpa1	-4.111182558069646e-06	0.001970909671408803	-0.19187409463346405	182.59425565639037	61	403	156	194
0hpa2	4.2158124632242405e-06	-0.0031990025581843003	0.7392971305001363	122.30507544177152	33	377	143	176
3dpa1	1.5998264775342573e-06	-0.001998016201130993	0.6447021317916409	122.33929668877533	75	333	160	185
3dpa2	-1.912215688010766e-06	0.0017530007082210194	-0.4016124518943924	192.9310207214894	81	347	166	185
5dpa1	-1.1509956390851484e-05	0.006180981161457509	-0.9933409788977835	182.66999135748918	57	391	51	144
5dpa2	7.639533625990918e-07	-6.543325927288544e-06	0.053435358005700595	180.34454658946848	63	471	184	284
7dpa1	-8.954538693050768e-06	0.005013242865769943	-0.8665679320072089	177.57258095614867	29	357	100	156
7dpa2	-8.428014484809385e-07	-8.727153084716038e-05	0.44054967503823933	55.847109942585455	121	437	106	164
10dpa1	-2.673109314699021e-06	0.0028327754397735857	-1.1104492276898967	346.8460686403863	109	551	148	256
10dpa2	-4.708401855770436e-06	0.004076631122925598	-1.2691526351322588	309.709785945508	123	467	127	207
12hpa1	1.4366610224363503e-05	-0.00974737127188088	2.0030269030324868	60.07231806493304	61	357	149	190
12hpa2	1.6664422363688357e-05	-0.010197136193106013	1.9485314145490131	38.84697422174901	69	305	130	158
14dpa1	1.1760312654682505e-06	-0.0017826618839300555	0.6927021911364745	41.91736782499448	103	467	96	122
14dpa2	-5.194197845411857e-06	0.0022220590549567407	-0.0031129265104938714	126.1946539562147	33	471	75	186
36hpa1	-6.486113104075732e-06	0.004283104096593316	-0.8153451094089001	214.14768445193658	53	387	164	182
36hpa2	1.3341190935505138e-05	-0.00768927593462277	1.2540429096188506	161.257540873812	79	341	202	224
