id	x1	y1	x2	y2
WT	30	152	871	287
0hpa1	85	178	375	171
0hpa2	44	149	375	172
3dpa1	83	163	330	175
3dpa2	87	170	349	185
5dpa1	57	144	354	95
5dpa2	65	184	473	285
7dpa1	35	153	358	99
7dpa2	120	106	440	161
10dpa1	129	245	553	147
10dpa2	122	207	468	126
12hpa1	81	166	356	186
12hpa2	80	138	304	157
14dpa1	104	96	469	96
14dpa2	38	129	468	79
36hpa1	53	182	374	169
36hpa2	83	220	335	220
