sample_b	slice_1	10dpa1	1995	3285	4455	2075	7593	15726	2652	5952	[[-0.04072809452608988, 1.4966140533867918, -165.76042047889075], [-1.4806616449551395, -0.04124077053163796, 6446.123614969436], [0.0, 0.0, 1.0]]
sample_b	slice_1	10dpa2	3090	2220	3260	1610	5976	15999	1957	4308	[[-0.043296948008177134, 1.495050111638639, -180.68189046317613], [-1.4791127224359555, -0.04378129814050697, 4598.150474478958], [0.0, 0.0, 1.0]]
sample_b	slice_1	12hpa1	6230	3730	2700	2210	8052	12057	2922	3564	[[-0.044209938394074604, 1.499159315646, -129.70174351229807], [-1.4832662190829202, -0.0447018466982227, 3820.960900162739], [0.0, 0.0, 1.0]]
sample_b	slice_1	12hpa2	6600	2510	2200	1900	6190	12157	2484	3024	[[-0.04429835827086271, 1.50215763427729, -121.04817482268658], [-1.4862327515210803, -0.044791250391619214, 3231.7644008653883], [0.0, 0.0, 1.0]]
sample_b	slice_1	3dpa1	11590	4790	2450	2030	9477	4244	2552	3398	[[-0.043296948008177134, 1.495050111638639, -205.27405885908075], [-1.4791127224359555, -0.04378129814050697, 3625.180307241829], [0.0, 0.0, 1.0]]
sample_b	slice_1	3dpa2	11790	2790	2500	2180	6501	4100	2824	3352	[[-0.0443427009718345, 1.5036612955728603, -236.75439536615497], [-1.48772047199307, -0.044836086478097295, 3565.5143601614686], [0.0, 0.0, 1.0]]
sample_b	slice_1	5dpa1	8540	4320	3050	1900	8837	8004	2488	4232	[[-0.044254104166696, 1.50065697729999, -130.5781559832757], [-1.48474800351756, -0.0447465038877314, 4420.267900195495], [0.0, 0.0, 1.0]]
sample_b	slice_1	5dpa2	8530	2540	3400	2300	6149	7540	3048	4728	[[-0.04429835827086271, 1.50215763427729, -117.38636527203455], [-1.4862327515210803, -0.044791250391619214, 4981.874335920208], [0.0, 0.0, 1.0]]
sample_b	slice_10	10dpa1	1510	2750	2830	1670	6452	16790	2184	3816	[[-0.020973481066374193, 1.48871822742489, -98.55967634195858], [-1.4829206191909097, -0.021064055651800695, 4069.3892232936378], [0.0, 0.0, 1.0]]
sample_b	slice_10	10dpa2	2360	1720	1990	1040	5018	16906	1128	2500	[[-0.02038600878750928, 1.4816689080127623, -207.16477013280436], [-1.4796334267852844, -0.02042236876197782, 2709.338782674373], [0.0, 0.0, 1.0]]
sample_b	slice_10	12hpa1	4600	2760	2670	2150	6484	12440	2840	3544	[[-0.020973481066374193, 1.48871822742489, -180.50152404387248], [-1.4829206191909097, -0.021064055651800695, 3835.4709488179974], [0.0, 0.0, 1.0]]
sample_b	slice_10	12hpa2	4970	1350	2380	1960	4372	12392	2584	3064	[[-0.020952528537836298, 1.4872309964284602, -172.39943696474037], [-1.4814391800109, -0.0210430126391615, 3362.9656104989194], [0.0, 0.0, 1.0]]
sample_b	slice_10	3dpa1	9900	3690	2450	2170	7748	4892	2872	3320	[[-0.020952528537836298, 1.4872309964284602, -163.69444840135736], [-1.4814391800109, -0.0210430126391615, 3505.77681698459], [0.0, 0.0, 1.0]]
sample_b	slice_10	3dpa2	10180	2000	2500	1970	5188	4508	2648	3320	[[-0.020973481066374193, 1.48871822742489, -126.96258136532447], [-1.4829206191909097, -0.021064055651800695, 3511.6641610438273], [0.0, 0.0, 1.0]]
sample_b	slice_10	5dpa1	7070	3390	2790	1750	7300	8588	2280	3752	[[-0.020973481066374193, 1.48871822742489, -108.88287381057548], [-1.4829206191909097, -0.021064055651800695, 4014.331441538527], [0.0, 0.0, 1.0]]
sample_b	slice_10	5dpa2	7100	1510	3290	2240	4580	7836	2872	4600	[[-0.020952528537836298, 1.4872309964284605, -185.0724055238835], [-1.4814391800109, -0.0210430126391615, 4758.430630282822], [0.0, 0.0, 1.0]]
sample_b	slice_11	10dpa1	1680	800	1900	3000	7616	17400	1884	3828	[[-1.4829835358114243, 0.01732014687189688, 2287.464922030858], [-0.01735599703279461, -1.4818607585781147, 4044.349699928628], [0.0, 0.0, 1.0]]
sample_b	slice_11	10dpa2	3440	2220	1320	1820	5838	17900	918	1656	[[-1.4829835358114243, 0.01732014687189688, 1475.9227474636905], [-0.01735599703279461, -1.4818607585781147, 1408.890583899576], [0.0, 0.0, 1.0]]
sample_b	slice_11	12hpa1	1380	3940	2220	2660	7400	13041	2760	3468	[[-1.4829835358114243, 0.01732014687189688, 3006.1585309049683], [-0.01735599703279461, -1.4818607585781147, 3755.346175390162], [0.0, 0.0, 1.0]]
sample_b	slice_11	12hpa2	3040	4220	2000	2420	5192	13041	2604	2964	[[-1.4844665193472357, 0.017337467018768777, 2754.785693717256], [-0.01737335302982741, -1.483342619336693, 3312.6553524944625], [0.0, 0.0, 1.0]]
sample_b	slice_11	3dpa1	920	9220	2220	2440	8196	5458	2828	3212	[[-1.4829835358114243, 0.01732014687189688, 2988.9519458306145], [-0.01735599703279461, -1.4818607585781147, 3518.786537952978], [0.0, 0.0, 1.0]]
sample_b	slice_11	3dpa2	2880	9380	1980	2500	5544	5206	2544	3200	[[-1.4844665193472357, 0.017337467018768777, 2735.664857773011], [-0.01737335302982741, -1.483342619336693, 3499.4233518526917], [0.0, 0.0, 1.0]]
sample_b	slice_11	5dpa1	1340	6440	1800	2780	8108	9135	2172	3720	[[-1.4844665193472357, 0.017337467018768777, 2406.771144532575], [-0.01737335302982741, -1.483342619336693, 3958.205616368501], [0.0, 0.0, 1.0]]
